Zona;Sexo;Edad;Relacion;Estado Civil;Lugar 5 años;Pueblo;Seguro Salud;Embarazo;Leer y Escribir;Sum y Mul;Nivel edu;Matricula;Prox Nivel ed;Ocupacion
1;1;70;1;2;1;2;6;0;1;1;23;2;0;4
1;2;69;2;2;1;2;6;0;1;1;23;2;0;0
1;2;51;3;5;1;2;2;0;1;1;72;2;0;1
1;2;17;9;1;1;2;2;3;1;1;42;1;42;0
1;1;65;1;2;1;1;2;0;1;1;21;2;0;0
1;2;64;2;2;1;1;2;0;1;1;21;2;0;0
1;2;34;3;1;1;2;2;3;1;1;72;2;0;1
1;1;28;3;1;1;2;6;0;1;1;72;1;72;0
1;1;33;1;2;1;2;2;0;1;1;77;2;0;1
1;2;32;2;2;1;2;2;2;1;1;72;2;0;1
1;1;6;3;1;1;2;2;0;1;1;13;1;41;0
1;1;4;3;1;4;2;2;0;2;2;11;1;13;0
1;1;44;1;2;1;2;2;0;1;1;72;2;0;1
1;2;42;2;2;1;2;2;2;1;1;72;1;72;3
1;1;21;3;1;1;2;6;0;1;1;72;1;72;0
1;1;16;3;1;1;2;2;0;1;1;42;1;42;0
1;2;7;3;1;1;2;2;0;1;1;41;1;41;0
1;1;56;1;2;1;2;6;0;1;1;23;2;0;3
1;2;53;2;2;1;2;6;0;1;1;23;2;0;0
1;1;24;3;1;1;2;6;0;1;1;72;1;72;0
1;1;20;3;1;1;2;6;0;1;1;72;1;72;0
1;2;14;3;1;1;2;6;3;1;1;42;1;42;0
1;1;39;1;2;1;1;2;0;1;1;77;2;0;3
1;2;37;2;2;1;1;2;2;1;1;72;2;0;1
1;2;16;3;1;1;1;2;3;1;1;42;1;42;0
1;2;14;3;1;1;1;2;3;1;1;42;1;42;0
1;2;66;7;6;1;1;2;0;1;1;21;2;0;3
1;1;40;1;3;1;1;6;0;1;1;21;2;0;3
1;2;39;2;3;1;1;6;2;1;1;31;2;0;1
1;2;6;3;1;1;1;6;0;1;1;13;1;41;0
1;2;45;1;4;1;2;6;2;1;1;21;2;0;0
1;1;28;3;1;1;2;6;0;1;1;32;2;0;1
1;1;25;3;1;1;2;6;0;1;1;32;2;0;3
1;1;44;1;2;1;2;3;0;1;1;23;2;0;4
1;2;42;2;2;1;1;3;2;1;1;21;2;0;0
1;1;23;3;1;1;2;6;0;1;1;42;2;0;1
1;1;20;3;1;1;2;3;0;1;1;42;2;0;0
